Realizado por: Miguel Gonzalez, Fabio Buitrago, Jose Rodriguez
logincdn.msauth.net 13.107.226.41
dl.delivery.mp.microsoft.com 13.107.4.50
au.download.windowsupdate.com 8.51.9.126
api.snapcraft.io 185.125.188.58
grupo3.com 192.168.10.3
v20.events.data.microsoft.com 13.89.178.26
cp601.prod.do.dsp.mp.microsoft.com 184.84.20.195
oneocsp.microsoft.com 204.79.197.203
security.ubuntu.com 91.189.91.39
cdn.fwupd.org 199.232.50.49
fe2cr.update.microsoft.com 20.83.81.164
arc.msn.com 20.96.153.111
dns.msftncsi.com 131.107.255.255
motd.ubuntu.com 54.247.62.1
ocsp.digicert.com 192.16.49.85
tesla.com 23.201.26.71
login.live.com 20.190.190.196
th.bing.com 104.75.170.169
r.bing.com 104.75.170.194
displaycatalog.mp.microsoft.com 20.99.184.37
www.bing.com 23.39.223.176
google.com 172.217.173.46
client.wns.windows.com 20.7.1.246
esm.ubuntu.com 185.125.190.23
geo.prod.do.dsp.mp.microsoft.com 51.104.164.114
tile-service.weather.microsoft.com 23.221.121.55
ctldl.windowsupdate.com 8.51.42.254
settings-win.data.microsoft.com 52.140.118.28
download.windowsupdate.com 104.75.170.11
co.archive.ubuntu.com 185.125.190.39
fe3cr.delivery.mp.microsoft.com 52.165.164.15
checkappexec.microsoft.com 20.206.190.93
kv601.prod.do.dsp.mp.microsoft.com 184.84.20.195
ris.api.iris.microsoft.com 20.110.87.71
ntp.ubuntu.com 91.189.94.4
apple.com 17.253.144.10
connectivity-check.ubuntu.com 35.224.170.84
licensing.mp.microsoft.com 52.137.108.250
v10.events.data.microsoft.com 20.189.173.6
livepatch.canonical.com 162.213.33.49
msedge.api.cdp.microsoft.com 13.67.191.143
lego.com 184.51.148.192
api.msn.com 204.79.197.203
contracts.canonical.com 91.189.92.68
Comunicaciones y Redes
